nhdhr_id,geometry,Depth_avg,area
nhdhr_121622699,-88.135417;42.911303,3.8,1907737.23007992
nhdhr_143249522,-88.532299;43.0283660000001,3.3,1020571.80382887
nhdhr_120018060,-93.407267;45.0778700000001,3.1,1198679.44013199
nhdhr_86274823,-95.89707;46.786548,3.5,541620.626148264
nhdhr_34126579,-93.168042;45.060306,3.5,258846.10557632
nhdhr_143249294,-88.441276;43.0912440000001,5.1,3288437.29542189
nhdhr_105231881,-87.68233;46.8103370000001,2.5,8317289.66041211
nhdhr_120020218,-93.168555;44.82349,3.0,123637.377234381
nhdhr_120020204,-93.563838;44.87023,4.2,462107.724953986
nhdhr_91687843,-92.840406;45.1926330000001,3.1,287843.218962766
nhdhr_120019246,-91.7645919999999;47.931117,9.7,13104902.1080699
nhdhr_120018136,-93.663058;44.867417,4.2,671288.670773981
nhdhr_120018423,-94.651042;43.9758170000001,2.4,829401.809839689
nhdhr_120018078,-93.059612;45.0232570000001,2.8,335486.163993009
nhdhr_120018204,-94.785364;45.081328,3.5,379150.0
nhdhr_91676911,-92.542762;45.750778,4.1,791123.374229141
nhdhr_120019513,-94.0530869999999;47.428657,2.7,229976897.907714
nhdhr_120020347,-92.901808;45.2514870000001,3.7,354369.417666043
nhdhr_139268769,-87.952532;43.5522700000001,3.5,857000.598726258
nhdhr_120020250,-93.414541;44.6315950000001,3.3,656650.679089547
nhdhr_122551004,-95.874081;45.0273700000001,6.5,14960192.3077428
nhdhr_45385910,-94.313839;45.4046240000001,2.4,3019958.99231577
nhdhr_120019016,-94.53173;46.9742590000001,6.1,20423637.6781725
nhdhr_143249413,-88.4278839999999;43.062195,3.6,1120846.57702155
nhdhr_91594459,-93.5148169999999;44.8508400000001,3.8,282414.32981405
nhdhr_32672239,-94.022866;43.8811850000001,2.7,5508140.35627529
nhdhr_34128651,-93.062825;45.0030320000001,3.4,296705.103035379
nhdhr_82819600,-86.495956;43.5591440000001,6.2,1119171.71951193
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,-91.7645919999999;47.931117,9.7,2644276.289
nhdhr_151949390,-91.5922179999999;45.5897170000001,6.5,8981319.600277
nhdhr_86273851,-95.831294;46.8703770000001,4.1,867161.51234848
nhdhr_120019849,-94.161328;45.301771,4.9,716275.622493949
nhdhr_120018107,-92.9835859999999;44.905087,4.4,192939.436338424
nhdhr_151948642,-91.522776;45.6779250000001,8.9,9710796.1968678
nhdhr_120018013,-93.0976209999999;45.1772270000001,2.4,1966886.46935486
nhdhr_91593815,-93.489583;44.878405,2.2,154018.650450081
nhdhr_143416561,-98.603742;47.9569520000001,8.3,322460172.168523
nhdhr_120020370,-92.807429;45.127956,7.3,1849560.33298851
nhdhr_82819628,-85.864583;43.5092110000001,4.1,492523.74433656
nhdhr_70334209,-89.8093509999999;45.7632070000001,3.8,1195589.82207881
